127.0.0.1 - - [02/May/2024:22:28:45 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/May/2024:22:28:47 +0530] "GET /project_3/ HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [02/May/2024:22:28:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/May/2024:22:28:52 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3862
0:0:0:0:0:0:0:1 - - [02/May/2024:22:28:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:28:58 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7237
0:0:0:0:0:0:0:1 - - [02/May/2024:22:29:22 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:22:29:22 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10739
0:0:0:0:0:0:0:1 - - [02/May/2024:22:29:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:29:26 +0530] "GET /project_3/ctl/ProductCtl HTTP/1.1" 200 15937
0:0:0:0:0:0:0:1 - - [02/May/2024:22:29:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:29:31 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16548
0:0:0:0:0:0:0:1 - - [02/May/2024:22:29:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:29:39 +0530] "POST /project_3/ctl/ProductListCtl HTTP/1.1" 200 16796
0:0:0:0:0:0:0:1 - - [02/May/2024:22:29:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:29:40 +0530] "POST /project_3/ctl/ProductListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:22:29:41 +0530] "GET /project_3/ctl/BankCtl HTTP/1.1" 200 15959
0:0:0:0:0:0:0:1 - - [02/May/2024:22:29:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:29:44 +0530] "GET /project_3/ctl/ProductCtl HTTP/1.1" 200 15937
0:0:0:0:0:0:0:1 - - [02/May/2024:22:29:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:29:47 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16548
0:0:0:0:0:0:0:1 - - [02/May/2024:22:29:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:29:56 +0530] "POST /project_3/ctl/ProductListCtl HTTP/1.1" 200 16092
0:0:0:0:0:0:0:1 - - [02/May/2024:22:29:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:30:17 +0530] "POST /project_3/ctl/ProductListCtl HTTP/1.1" 200 16092
0:0:0:0:0:0:0:1 - - [02/May/2024:22:30:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:31:01 +0530] "POST /project_3/ctl/ProductListCtl HTTP/1.1" 200 16101
0:0:0:0:0:0:0:1 - - [02/May/2024:22:31:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:31:11 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16548
0:0:0:0:0:0:0:1 - - [02/May/2024:22:31:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:31:25 +0530] "POST /project_3/ctl/ProductListCtl HTTP/1.1" 200 16103
0:0:0:0:0:0:0:1 - - [02/May/2024:22:31:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:31:31 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16548
0:0:0:0:0:0:0:1 - - [02/May/2024:22:31:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:31:51 +0530] "GET /project_3/ctl/ProductCtl?id=1 HTTP/1.1" 200 15960
0:0:0:0:0:0:0:1 - - [02/May/2024:22:31:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:32:02 +0530] "POST /project_3/ctl/ProductCtl HTTP/1.1" 200 16162
0:0:0:0:0:0:0:1 - - [02/May/2024:22:32:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:32:06 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16536
0:0:0:0:0:0:0:1 - - [02/May/2024:22:32:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:32:12 +0530] "POST /project_3/ctl/ProductListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:22:32:12 +0530] "GET /project_3/ctl/BankListCtl HTTP/1.1" 200 16510
0:0:0:0:0:0:0:1 - - [02/May/2024:22:32:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:32:19 +0530] "POST /project_3/ctl/BankListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:22:32:19 +0530] "GET /project_3/ctl/BankListCtl HTTP/1.1" 200 16510
0:0:0:0:0:0:0:1 - - [02/May/2024:22:32:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:32:20 +0530] "POST /project_3/ctl/BankListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:22:32:20 +0530] "GET /project_3/ctl/BankListCtl HTTP/1.1" 200 16510
0:0:0:0:0:0:0:1 - - [02/May/2024:22:32:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:32:21 +0530] "POST /project_3/ctl/BankListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:22:32:21 +0530] "GET /project_3/ctl/BankListCtl HTTP/1.1" 200 16510
0:0:0:0:0:0:0:1 - - [02/May/2024:22:32:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:32:22 +0530] "POST /project_3/ctl/BankListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:22:32:22 +0530] "GET /project_3/ctl/BankListCtl HTTP/1.1" 200 16510
0:0:0:0:0:0:0:1 - - [02/May/2024:22:32:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:33:44 +0530] "GET /project_3/ctl/BankListCtl HTTP/1.1" 200 16510
0:0:0:0:0:0:0:1 - - [02/May/2024:22:33:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:33:49 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16536
0:0:0:0:0:0:0:1 - - [02/May/2024:22:33:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:33:52 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16536
0:0:0:0:0:0:0:1 - - [02/May/2024:22:33:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:33:54 +0530] "POST /project_3/ctl/ProductListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:22:33:54 +0530] "GET /project_3/ctl/BankCtl HTTP/1.1" 200 15959
0:0:0:0:0:0:0:1 - - [02/May/2024:22:33:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:34:10 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16536
0:0:0:0:0:0:0:1 - - [02/May/2024:22:34:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:34:14 +0530] "GET /project_3/ctl/ProductCtl?id=2 HTTP/1.1" 200 15958
0:0:0:0:0:0:0:1 - - [02/May/2024:22:34:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:34:25 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16536
0:0:0:0:0:0:0:1 - - [02/May/2024:22:34:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:34:27 +0530] "POST /project_3/ctl/ProductListCtl HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:34:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:34:36 +0530] "POST /project_3/ctl/ProductListCtl HTTP/1.1" 200 16082
0:0:0:0:0:0:0:1 - - [02/May/2024:22:34:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:34:39 +0530] "POST /project_3/ctl/ProductListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:22:34:39 +0530] "GET /project_3/ctl/BankListCtl HTTP/1.1" 200 16510
0:0:0:0:0:0:0:1 - - [02/May/2024:22:34:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:34:45 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16536
0:0:0:0:0:0:0:1 - - [02/May/2024:22:34:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:30 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16536
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:36 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16536
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:40 +0530] "POST /project_3/ctl/ProductListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:40 +0530] "GET /project_3/ctl/ProductCtl HTTP/1.1" 200 15937
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:48 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16536
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:50 +0530] "POST /project_3/ctl/ProductListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:51 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16536
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:52 +0530] "POST /project_3/ctl/ProductListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:52 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16536
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:53 +0530] "POST /project_3/ctl/ProductListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:53 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16536
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:54 +0530] "POST /project_3/ctl/ProductListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:54 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16536
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:54 +0530] "POST /project_3/ctl/ProductListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:54 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16536
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:55 +0530] "POST /project_3/ctl/ProductListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:55 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16536
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:55 +0530] "POST /project_3/ctl/ProductListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:55 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16536
0:0:0:0:0:0:0:1 - - [02/May/2024:22:36:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/May/2024:22:37:07 +0530] "GET /project_3/ctl/ProductCtl?id=1 HTTP/1.1" 200 15948
0:0:0:0:0:0:0:1 - - [02/May/2024:22:37:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
